Time,Household,Peer,X_p
2019-01-01 14:00:00+00:00,H2,H1,0.0
2019-01-01 14:00:00+00:00,H2,H2,0.0
2019-01-01 14:00:00+00:00,H2,H3,0.0
2019-01-01 14:00:00+00:00,H2,H4,0.0
2019-01-01 14:00:00+00:00,H3,H1,0.0
2019-01-01 14:00:00+00:00,H3,H2,0.0
2019-01-01 14:00:00+00:00,H3,H3,0.0
2019-01-01 14:00:00+00:00,H3,H4,0.312457340686514
2019-01-01 14:00:00+00:00,H4,H1,0.0
2019-01-01 14:00:00+00:00,H4,H2,0.0
2019-01-01 14:00:00+00:00,H4,H3,0.0
2019-01-01 14:00:00+00:00,H4,H4,0.0
2019-01-01 14:30:00+00:00,H1,H1,0.0
2019-01-01 14:30:00+00:00,H1,H2,0.0
2019-01-01 14:30:00+00:00,H1,H3,0.0
2019-01-01 14:30:00+00:00,H1,H4,0.854368515977185
2019-01-01 14:30:00+00:00,H2,H1,0.0
2019-01-01 14:30:00+00:00,H2,H2,0.0
2019-01-01 14:30:00+00:00,H2,H3,0.0
2019-01-01 14:30:00+00:00,H2,H4,0.2809128693042
2019-01-01 14:30:00+00:00,H3,H1,0.0
2019-01-01 14:30:00+00:00,H3,H2,0.0
2019-01-01 14:30:00+00:00,H3,H3,0.0
2019-01-01 14:30:00+00:00,H3,H4,0.0
2019-01-01 14:30:00+00:00,H4,H1,0.0
2019-01-01 14:30:00+00:00,H4,H2,0.0
2019-01-01 14:30:00+00:00,H4,H3,0.0
2019-01-01 14:30:00+00:00,H4,H4,0.0
2019-01-01 15:00:00+00:00,H1,H1,0.0
2019-01-01 15:00:00+00:00,H1,H2,0.0
2019-01-01 15:00:00+00:00,H1,H3,0.0
2019-01-01 15:00:00+00:00,H1,H4,0.0
2019-01-01 15:00:00+00:00,H2,H1,0.0
2019-01-01 15:00:00+00:00,H2,H2,0.0
2019-01-01 15:00:00+00:00,H2,H3,0.0
2019-01-01 15:00:00+00:00,H2,H4,0.281520591826141
2019-01-01 15:00:00+00:00,H3,H1,0.0
2019-01-01 15:00:00+00:00,H3,H2,0.0
2019-01-01 15:00:00+00:00,H3,H3,0.0
2019-01-01 15:00:00+00:00,H3,H4,0.0
2019-01-01 15:00:00+00:00,H4,H1,0.0
2019-01-01 15:00:00+00:00,H4,H2,0.0
2019-01-01 15:00:00+00:00,H4,H3,0.0
2019-01-01 15:00:00+00:00,H4,H4,0.0
2019-01-01 15:30:00+00:00,H1,H1,0.0
2019-01-01 15:30:00+00:00,H1,H2,0.0
2019-01-01 15:30:00+00:00,H1,H3,0.0
2019-01-01 15:30:00+00:00,H1,H4,0.0
2019-01-01 15:30:00+00:00,H2,H1,0.0
2019-01-01 15:30:00+00:00,H2,H2,0.0
2019-01-01 15:30:00+00:00,H2,H3,0.0
2019-01-01 15:30:00+00:00,H2,H4,0.0910841897245889
2019-01-01 15:30:00+00:00,H3,H1,0.0
2019-01-01 15:30:00+00:00,H3,H2,0.0
2019-01-01 15:30:00+00:00,H3,H3,0.0
2019-01-01 15:30:00+00:00,H3,H4,0.0
2019-01-01 15:30:00+00:00,H4,H1,0.0
2019-01-01 15:30:00+00:00,H4,H2,0.0
2019-01-01 15:30:00+00:00,H4,H3,0.0
2019-01-01 15:30:00+00:00,H4,H4,0.0
2019-01-01 16:00:00+00:00,H1,H1,0.0
